bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,adelie,gentoo,chinstrap
-1.53382,0.17259,-0.71113,-1.28171,1.0,0.0,0.0
-0.85740,1.74619,-0.78245,-0.69181,1.0,0.0,0.0
0.58684,-1.75635,0.92939,0.89161,0.0,1.0,0.0
-0.47349,0.73096,-0.71113,-0.62972,1.0,0.0,0.0
-0.80256,1.79695,-0.71113,-0.38134,1.0,0.0,0.0
2.85375,-0.08122,2.07061,2.28874,0.0,1.0,0.0
-0.16271,1.03553,-0.28317,-0.87810,1.0,0.0,0.0
-0.54662,1.44162,0.14479,0.64323,1.0,0.0,0.0
-1.36929,0.42640,-1.35307,-1.31276,1.0,0.0,0.0
-1.31444,0.68020,-0.56847,-0.87810,1.0,0.0,0.0
-0.52834,0.93401,-1.35307,-0.97124,1.0,0.0,0.0
-0.52834,0.17259,-0.78245,-0.38134,1.0,0.0,0.0
1.24497,0.07107,1.92796,1.72989,0.0,1.0,0.0
-1.73492,0.47716,-0.99643,-1.62323,1.0,0.0,0.0
0.22121,0.32487,-0.21184,-0.31924,0.0,0.0,1.0
-1.64351,0.37563,-0.63980,-0.59867,1.0,0.0,0.0
-0.21755,0.68020,-0.42582,0.05333,1.0,0.0,0.0
-1.58867,0.88325,-0.99643,-0.50553,1.0,0.0,0.0
0.22121,-0.69036,1.00071,1.35732,0.0,1.0,0.0
0.27605,-1.35025,0.78673,0.67428,0.0,1.0,0.0
-0.49177,1.59391,-0.49715,-0.81600,1.0,0.0,0.0
-0.56490,-1.75635,0.92939,0.55009,0.0,1.0,0.0
0.91590,1.18782,0.64408,-0.31924,0.0,0.0,1.0
-0.98537,0.02030,-0.14051,-0.56762,1.0,0.0,0.0
1.33638,1.39086,-0.21184,-0.62972,0.0,0.0,1.0
0.25777,-1.29949,0.71541,0.73637,0.0,1.0,0.0
1.09872,-0.99492,1.21469,1.85408,0.0,1.0,0.0
-0.14442,0.68020,-0.63980,-0.13296,1.0,0.0,0.0
-0.67459,0.68020,-0.35449,0.17752,1.0,0.0,0.0
-1.16819,-0.08122,-1.13909,-0.75391,1.0,0.0,0.0
-0.98537,2.05076,-0.71113,-0.50553,1.0,0.0,0.0
0.36746,0.88325,-0.42582,-0.07086,0.0,0.0,1.0
0.38574,0.52792,-1.63837,-1.18857,0.0,0.0,1.0
0.86106,-1.55330,0.64408,0.30171,0.0,1.0,0.0
-1.42413,0.02030,-0.99643,-1.31276,1.0,0.0,0.0
-0.43693,0.42640,-0.63980,-0.31924,1.0,0.0,0.0
-0.52834,0.52792,-0.63980,-0.19505,1.0,0.0,0.0
0.22121,-0.28426,-0.71113,-1.18857,0.0,0.0,1.0
2.03108,-0.58883,2.07061,2.04036,0.0,1.0,0.0
0.45887,-1.85787,0.64408,0.42590,0.0,1.0,0.0
-1.51554,-0.13198,-1.13909,-1.31276,1.0,0.0,0.0
-1.13163,1.44162,-0.78245,0.05333,1.0,0.0,0.0
-0.08958,0.47716,0.07347,-1.00229,0.0,0.0,1.0
-0.45521,0.68020,0.00214,-0.25715,1.0,0.0,0.0
0.16636,-1.70558,0.78673,0.67428,0.0,1.0,0.0
0.82450,-1.55330,1.35735,1.35732,0.0,1.0,0.0
1.72029,-0.69036,1.28602,1.60570,0.0,1.0,0.0
-1.07678,-0.33503,-0.21184,-0.47448,1.0,0.0,0.0
0.42230,-0.69036,1.00071,1.04684,0.0,1.0,0.0
-0.32724,1.18782,-0.28317,0.08437,1.0,0.0,0.0
